Room Name,Max Occupancy,Rate Name,Checkin Date,Checkout Date,Cancellation Policy,Price,Currency,Is Top Deal
Deluxe Double Room,2,Internet Included - Non-refundable,2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",565.75,AUD,False
Deluxe Double Room,2,Internet Included,2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",628.61,AUD,False
Deluxe Double Room,2,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",643.37,AUD,False
Deluxe Double Room,2,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",706.24,AUD,False
"Deluxe Room, 1 King Bed",2,Internet Included - Non-refundable,2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",565.75,AUD,False
"Deluxe Room, 1 King Bed",2,Internet Included,2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",628.61,AUD,False
"Deluxe Room, 1 King Bed",2,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",643.37,AUD,False
"Deluxe Room, 1 King Bed",2,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",706.24,AUD,False
Deluxe Room (Family),4,Internet Included - Non-refundable,2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",653.05,AUD,False
Deluxe Room (Family),4,Internet Included,2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",725.62,AUD,False
Deluxe Room (Family),4,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",730.68,AUD,False
Deluxe Room (Family),4,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",803.24,AUD,False
Club Double Room,2,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",705.44,AUD,False
Club Double Room,2,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",783.82,AUD,False
Executive Double Room,2,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",747.34,AUD,False
Executive Double Room,2,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",830.39,AUD,False
Executive Twin Room,2,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",747.34,AUD,False
Executive Twin Room,2,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",830.39,AUD,False
Studio Suite,2,"Internet Included, Breakfast Included - Non-refundable",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 22:29 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",1124.51,AUD,False
Studio Suite,2,"Internet Included, Breakfast Included",2024-08-17,2024-08-18,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 16, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",1249.45,AUD,False
